corner,temp,resistor,supply,dropout,line_reg
tt_lh,85,180,2.3,1.90080000e-02,2.89000000e-03
sf_hh,85,36000.0,2.1,1.78000000e-04,2.77750000e-03
sf_lh,0,36000.0,2.5,error,error
ss_lh,0,36000.0,2.1,error,error
ff_ll,0,36000.0,2.5,error,error
ff_tt,27,36000.0,2.3,1.05000000e-04,1.27500000e-04
tt_lh,85,36000.0,2.3,1.44000000e-04,2.81500000e-03
sf_hh,0,18,2.1,error,error
sf_lh,27,18,2.5,2.12018000e-01,1.08050000e-02
ss_lh,27,18,2.1,2.04092000e-01,6.28250000e-03
ff_ll,27,18,2.5,1.41865000e-01,1.02500000e-04
tt_hh,85,18,2.5,1.84152000e-01,4.43500000e-03
tt_lh,0,18,2.3,1.60320000e-01,9.81250000e-04
sf_tt,27,180,2.3,2.23730000e-02,2.52500000e-04
fs_lh,85,180,2.5,1.55130000e-02,2.87250000e-03
fs_ll,0,180,2.3,1.32500000e-02,1.32250000e-03
ff_hh,27,180,2.1,1.44860000e-02,6.75000000e-05
tt_ll,85,180,2.3,1.90080000e-02,2.89000000e-03
tt_ll,27,36000.0,2.1,1.28000000e-04,5.37500000e-05
tt_ll,85,36000.0,2.3,1.44000000e-04,2.81500000e-03
sf_tt,27,36000.0,2.3,1.64000000e-04,1.58750000e-04
fs_lh,85,36000.0,2.5,1.17000000e-04,2.81625000e-03
fs_ll,0,36000.0,2.3,error,error
ff_hh,27,36000.0,2.1,1.04000000e-04,1.12500000e-04
tt_ll,85,18,2.3,1.84156000e-01,5.70375000e-03
ss_hh,85,18,2.5,2.21228000e-01,3.41800000e-02
tt_ll,0,18,2.3,error,error
fs_lh,0,18,2.5,1.30201000e-01,1.19000000e-03
fs_ll,27,18,2.3,1.37644000e-01,1.25000000e-04
ff_hh,85,18,2.3,error,error
tt_ll,0,180,2.3,error,error
ss_hh,85,180,2.5,2.31590000e-02,2.99625000e-03
fs_lh,0,180,2.5,error,error
fs_ll,27,180,2.3,1.40220000e-02,5.50000000e-05
ff_hh,85,180,2.3,error,error
ss_hh,85,36000.0,2.5,1.71000000e-04,2.91500000e-03
fs_lh,0,36000.0,2.5,error,error
fs_ll,27,36000.0,2.3,error,error
ff_hh,85,36000.0,2.3,1.18000000e-04,2.50625000e-03
tt_ll,0,36000.0,2.3,error,error
ss_hh,0,18,2.5,3.11590000e-02,9.64877500e-01
fs_lh,27,18,2.5,1.37644000e-01,1.25000000e-04
fs_tt,85,18,2.5,1.52111000e-01,3.11250000e-03
ff_hh,0,18,2.3,error,error
tt_ll,27,18,2.3,1.68464000e-01,4.02500000e-04
ss_hh,0,180,2.5,error,error
fs_lh,27,180,2.5,1.40220000e-02,5.50000000e-05
fs_tt,85,180,2.5,1.55120000e-02,2.79375000e-03
ff_hh,0,180,2.3,error,error
tt_ll,27,180,2.3,error,error
ss_hh,0,36000.0,2.5,error,error
fs_lh,27,36000.0,2.5,error,error
fs_tt,85,36000.0,2.5,1.16000000e-04,2.73875000e-03
ff_hh,0,36000.0,2.3,error,error
tt_ll,27,36000.0,2.3,1.28000000e-04,5.37500000e-05
ss_hh,27,18,2.5,2.04088000e-01,3.28000000e-03
tt,85,18,2.5,1.84154000e-01,4.93625000e-03
fs_lh,85,18,2.1,1.52112000e-01,3.23250000e-03
fs_tt,0,18,2.5,error,error
ff_hh,27,18,2.3,1.41863000e-01,1.01322000e+00
tt,85,180,2.5,error,error
ss_hh,27,180,2.5,2.14050000e-02,1.82500000e-04
fs_lh,85,180,2.1,1.55130000e-02,2.87250000e-03
fs_tt,0,180,2.5,error,error
ff_hh,27,180,2.3,1.44860000e-02,6.75000000e-05
ss_hh,27,36000.0,2.5,error,error
tt,85,36000.0,2.5,error,error
fs_lh,85,36000.0,2.1,1.17000000e-04,2.81625000e-03
fs_tt,0,36000.0,2.5,9.50000000e-05,1.32625000e-03
ff_hh,27,36000.0,2.3,1.04000000e-04,1.12500000e-04
tt,0,18,2.5,1.60319000e-01,9.70000000e-04
ss_hh,85,18,2.1,2.21228000e-01,3.41800000e-02
fs_lh,0,18,2.1,1.30201000e-01,1.19000000e-03
fs_tt,27,18,2.5,error,error
ff_hl,85,18,2.5,error,error
ss_hh,85,180,2.1,2.31590000e-02,2.99625000e-03
tt,0,180,2.5,error,error
fs_lh,0,180,2.1,1.32500000e-02,1.32250000e-03
fs_tt,27,180,2.5,error,error
ff_hl,85,180,2.5,error,error
ss_hh,85,36000.0,2.1,1.71000000e-04,2.91500000e-03
fs_lh,0,36000.0,2.1,9.60000000e-05,1.36250000e-03
fs_tt,27,36000.0,2.5,1.02000000e-04,8.37500000e-05
ff_hl,85,36000.0,2.5,1.18000000e-04,2.50625000e-03
tt,0,36000.0,2.5,error,error
ss_hh,0,18,2.1,3.11590000e-02,9.64877500e-01
tt,27,18,2.5,error,error
fs_lh,27,18,2.1,1.37644000e-01,1.25000000e-04
fs_tt,85,18,2.1,1.52111000e-01,3.11250000e-03
ff_hl,0,18,2.5,error,error
ss_hh,0,180,2.1,error,error
fs_lh,27,180,2.1,error,error
fs_tt,85,180,2.1,1.55120000e-02,2.79375000e-03
ff_hl,0,180,2.5,1.37160000e-02,1.25250000e-03
tt,27,180,2.5,error,error
ss_hh,0,36000.0,2.1,error,error
fs_lh,27,36000.0,2.1,error,error
fs_tt,85,36000.0,2.1,1.16000000e-04,2.73875000e-03
ff_hl,0,36000.0,2.5,error,error
tt,27,36000.0,2.5,error,error
tt,85,18,2.1,1.84154000e-01,4.93625000e-03
ss_hh,27,18,2.1,2.04088000e-01,3.28000000e-03
fs_lh,85,18,2.3,1.52112000e-01,3.23250000e-03
fs_tt,0,18,2.1,1.30200000e-01,1.16125000e-03
ff_hl,27,18,2.5,1.41863000e-01,1.01322000e+00
ss_hh,27,180,2.1,2.14050000e-02,1.82500000e-04
