corner,temp,resistor,supply,dropout,line_reg
ss_tt,27,18,2.1,error,error
tt_lh,85,18,2.1,1.84156000e-01,5.70375000e-03
ss_tt,27,180,2.1,error,error
tt_ll,85,180,2.5,1.90080000e-02,2.89000000e-03
ss_tt,27,36000.0,2.1,error,error
tt_ll,85,36000.0,2.5,1.44000000e-04,2.81500000e-03
tt_ll,0,18,2.5,1.60320000e-01,9.82500000e-04
ss_tt,85,18,2.3,2.21230000e-01,4.02212500e-02
ss_tt,85,180,2.3,error,error
tt_ll,0,180,2.5,error,error
tt_ll,0,36000.0,2.5,error,error
ss_tt,85,36000.0,2.3,error,error
ss_tt,0,18,2.3,error,error
tt_ll,27,18,2.5,1.68464000e-01,4.02500000e-04
tt_ll,27,180,2.5,error,error
ss_tt,0,180,2.3,error,error
tt_ll,27,36000.0,2.5,1.28000000e-04,5.37500000e-05
ss_tt,0,36000.0,2.3,1.48000000e-04,1.11875000e-03
ss_tt,27,18,2.3,error,error
tt_ll,85,18,2.1,1.84156000e-01,5.70375000e-03
ss_tt,27,180,2.3,error,error
tt_ll,85,180,2.1,error,error
ss_tt,27,36000.0,2.3,error,error
tt_ll,85,36000.0,2.1,1.44000000e-04,2.81500000e-03
tt_ll,0,18,2.1,error,error
fs_hh,85,18,2.5,1.52109000e-01,3.01125000e-03
tt_ll,0,180,2.1,error,error
fs_hh,85,180,2.5,1.55100000e-02,2.72500000e-03
fs_hh,85,36000.0,2.5,1.14000000e-04,2.67250000e-03
tt_ll,0,36000.0,2.1,error,error
tt_ll,27,18,2.1,1.68464000e-01,4.02500000e-04
fs_hh,0,18,2.5,1.30198000e-01,1.48375000e-03
fs_hh,0,180,2.5,error,error
tt_ll,27,180,2.1,error,error
fs_hh,0,36000.0,2.5,9.40000000e-05,1.29250000e-03
fs_hh,27,18,2.5,1.37641000e-01,1.25000000e-04
fs_hl,0,180,2.5,error,error
ss_lh,27,180,2.1,2.14090000e-02,2.08750000e-04
fs_tt,85,180,2.3,1.55120000e-02,2.79375000e-03
ss_lh,27,36000.0,2.1,error,error
fs_hl,0,36000.0,2.5,9.40000000e-05,1.29250000e-03
fs_tt,85,36000.0,2.3,1.16000000e-04,2.73875000e-03
ss_lh,85,18,2.3,2.21233000e-01,4.66487500e-02
fs_hl,27,18,2.5,1.37641000e-01,1.25000000e-04
fs_tt,0,18,2.3,1.30200000e-01,1.16125000e-03
ss_lh,85,180,2.3,2.31640000e-02,3.20250000e-03
fs_hl,27,180,2.5,1.40190000e-02,3.50000000e-05
fs_tt,0,180,2.3,1.32490000e-02,1.29250000e-03
ss_lh,85,36000.0,2.3,1.76000000e-04,3.11375000e-03
fs_hl,27,36000.0,2.5,1.01000000e-04,7.25000000e-05
fs_tt,0,36000.0,2.3,9.50000000e-05,1.32625000e-03
ss_lh,0,18,2.3,1.95156000e-01,6.71250000e-04
fs_hl,85,18,2.1,1.52109000e-01,3.01125000e-03
fs_tt,27,18,2.3,error,error
ss_lh,0,180,2.3,error,error
fs_hl,85,180,2.1,1.55100000e-02,2.72500000e-03
fs_tt,27,180,2.3,1.40200000e-02,4.62500000e-05
ss_lh,0,36000.0,2.3,error,error
fs_hl,85,36000.0,2.1,1.14000000e-04,2.67250000e-03
fs_tt,27,36000.0,2.3,1.02000000e-04,8.37500000e-05
ss_lh,27,18,2.3,2.04092000e-01,6.28250000e-03
fs_hl,0,18,2.1,1.30198000e-01,1.48375000e-03
ff_hh,85,18,2.5,error,error
ss_lh,27,180,2.3,2.14090000e-02,2.08750000e-04
fs_hl,0,180,2.1,error,error
ff_hh,85,180,2.5,error,error
ss_lh,27,36000.0,2.3,error,error
fs_hl,0,36000.0,2.1,9.40000000e-05,1.29250000e-03
ff_hh,85,36000.0,2.5,1.18000000e-04,2.50625000e-03
ss_ll,85,18,2.5,2.21233000e-01,4.66487500e-02
fs_hl,27,18,2.1,1.37641000e-01,1.25000000e-04
ff_hh,0,18,2.5,error,error
ss_ll,85,180,2.5,2.31640000e-02,3.20250000e-03
fs_hl,27,180,2.1,1.40190000e-02,3.50000000e-05
ff_hh,0,180,2.5,1.37160000e-02,1.25250000e-03
ss_ll,85,36000.0,2.5,1.76000000e-04,3.11375000e-03
fs_hl,27,36000.0,2.1,1.01000000e-04,7.25000000e-05
ff_hh,0,36000.0,2.5,error,error
ss_hl,85,180,2.3,2.31590000e-02,2.99625000e-03
ss_ll,0,18,2.5,error,error
fs_hl,85,18,2.3,1.52109000e-01,3.01125000e-03
ff_hh,27,18,2.5,1.41863000e-01,1.01322000e+00
ss_ll,0,180,2.5,error,error
fs_hl,85,180,2.3,1.55100000e-02,2.72500000e-03
ff_hh,27,180,2.5,1.44860000e-02,6.75000000e-05
ss_ll,0,36000.0,2.5,error,error
fs_hl,85,36000.0,2.3,1.14000000e-04,2.67250000e-03
ff_hh,27,36000.0,2.5,1.04000000e-04,1.12500000e-04
ss_ll,27,18,2.5,2.04092000e-01,6.28250000e-03
fs_hl,0,18,2.3,1.30198000e-01,1.48375000e-03
ff_hh,85,18,2.1,error,error
ss_ll,27,180,2.5,2.14090000e-02,2.08750000e-04
fs_hl,0,180,2.3,1.32480000e-02,1.26000000e-03
ff_hh,85,180,2.1,error,error
ss_ll,27,36000.0,2.5,error,error
fs_hl,0,36000.0,2.3,9.40000000e-05,1.29250000e-03
ff_hh,85,36000.0,2.1,1.18000000e-04,2.50625000e-03
ss_ll,85,18,2.1,2.21233000e-01,4.66487500e-02
fs_hl,27,18,2.3,1.37641000e-01,1.25000000e-04
ff_hh,0,18,2.1,error,error
ss_ll,85,180,2.1,2.31640000e-02,3.20250000e-03
fs_hl,27,180,2.3,1.40190000e-02,3.50000000e-05
ff_hh,0,180,2.1,1.37160000e-02,1.25250000e-03
ss_ll,85,36000.0,2.1,1.76000000e-04,3.11375000e-03
fs_hl,27,36000.0,2.3,1.01000000e-04,7.25000000e-05
ff_hh,0,36000.0,2.1,error,error
ss_ll,0,18,2.1,error,error
fs_lh,85,18,2.5,1.52112000e-01,3.23250000e-03
ff_hh,27,18,2.1,1.41863000e-01,1.01322000e+00
sf_tt,85,180,2.5,2.40750000e-02,2.97375000e-03
sf_tt,85,36000.0,2.5,1.80000000e-04,2.85875000e-03
ff_lh,85,180,2.1,error,error
sf_tt,0,18,2.5,error,error
sf_tt,0,180,2.5,error,error
sf_tt,0,36000.0,2.5,error,error
sf_tt,27,18,2.5,2.12016000e-01,7.17875000e-03
sf_tt,27,180,2.5,2.23730000e-02,2.52500000e-04
sf_tt,27,36000.0,2.5,1.64000000e-04,1.58750000e-04
sf_tt,85,18,2.1,2.28805000e-01,4.41450000e-02
sf_tt,85,180,2.1,2.40750000e-02,2.97375000e-03
sf_tt,85,36000.0,2.1,1.80000000e-04,2.85875000e-03
sf_tt,0,18,2.1,error,error
sf_tt,0,180,2.1,error,error
sf_tt,0,36000.0,2.1,error,error
sf_tt,27,18,2.1,2.12016000e-01,7.17875000e-03
sf_tt,27,180,2.1,2.23730000e-02,2.52500000e-04
sf_tt,27,36000.0,2.1,1.64000000e-04,1.58750000e-04
sf_tt,85,18,2.3,2.28805000e-01,4.41450000e-02
sf_tt,85,180,2.3,2.40750000e-02,2.97375000e-03
sf_tt,85,36000.0,2.3,1.80000000e-04,2.85875000e-03
sf_tt,0,18,2.3,error,error
sf_tt,0,180,2.3,error,error
sf_tt,0,36000.0,2.3,error,error
sf_tt,27,18,2.3,2.12016000e-01,7.17875000e-03
