corner,temp,resistor,supply,temp_coeff
sf_ll,85,18,2.5,7.45280280e+01
ss_ll,85,18,2.3,7.19927861e+01
ff_hh,0,18,2.3,4.90646477e+01
sf_ll,85,180,2.5,7.50724972e+01
ss_ll,85,180,2.3,7.26787199e+01
ff_hh,0,180,2.3,error
sf_ll,85,36000.0,2.5,7.72378764e+01
ss_ll,85,36000.0,2.3,7.07686232e+01
ff_hh,0,36000.0,2.3,error
sf_ll,0,18,2.5,error
ss_ll,0,18,2.3,7.19927861e+01
ff_hh,27,18,2.3,4.90633991e+01
sf_ll,0,180,2.5,error
ss_ll,0,180,2.3,7.26787199e+01
ff_hh,27,180,2.3,4.87084000e+01
sf_ll,0,36000.0,2.5,error
ss_ll,0,36000.0,2.3,error
ff_hh,27,36000.0,2.3,4.83511882e+01
sf_hl,0,36000.0,2.3,error
sf_ll,27,18,2.5,7.45280280e+01
ss_ll,27,18,2.3,7.19927861e+01
ff_hl,85,180,2.1,5.57369896e+01
sf_ll,27,180,2.5,7.50724972e+01
ss_ll,27,180,2.3,7.26787199e+01
sf_ll,27,36000.0,2.5,7.72378764e+01
ss_ll,27,36000.0,2.3,7.07686232e+01
ff_hl,85,36000.0,2.1,5.53108472e+01
sf_ll,85,18,2.3,6.82782983e+01
ss_tt,85,18,2.1,3.51623382e+01
ff_hl,0,18,2.1,5.63360152e+01
sf_ll,85,180,2.3,6.89640512e+01
ss_tt,85,180,2.1,3.64741166e+01
ff_hl,0,180,2.1,error
sf_ll,85,36000.0,2.3,7.11769866e+01
ss_tt,85,36000.0,2.1,3.68677839e+01
ff_hl,0,36000.0,2.1,5.53108472e+01
sf_ll,0,18,2.3,error
ss_tt,0,18,2.1,3.51623382e+01
ff_hl,27,18,2.1,5.63360152e+01
ff_hl,27,180,2.1,5.57369896e+01
sf_ll,0,180,2.3,error
ss_tt,0,180,2.1,3.64741166e+01
sf_ll,0,36000.0,2.3,error
ss_tt,0,36000.0,2.1,error
ff_hl,27,36000.0,2.1,5.53108472e+01
sf_ll,27,18,2.3,6.82782983e+01
ss_tt,27,18,2.1,3.51623382e+01
ff_hl,85,18,2.5,4.41626172e+01
ff_hl,85,180,2.5,4.38837906e+01
ss_tt,27,180,2.1,3.64741166e+01
sf_ll,27,180,2.3,6.89640512e+01
ff_hl,85,36000.0,2.5,4.35754775e+01
ss_tt,27,36000.0,2.1,3.68677839e+01
sf_ll,27,36000.0,2.3,7.11769866e+01
