corner,temp,resistor,supply,psr100,psr100k
ff_lh,27,18,2.3,-7.33617700e+01,-2.48139200e+01
sf_hl,27,180,2.3,-7.81507900e+01,-2.78618300e+01
sf_tt,27,180,2.5,-7.56481700e+01,-2.71187500e+01
ff_lh,27,180,2.3,-6.97971300e+01,-2.62708300e+01
sf_hl,27,36000.0,2.3,-7.41311100e+01,-2.80112100e+01
sf_tt,27,36000.0,2.5,-7.35596000e+01,-2.72062000e+01
ff_lh,27,36000.0,2.3,-6.86133900e+01,-2.63671900e+01
sf_lh,85,18,2.1,-4.01947700e+01,-1.38364200e+01
sf_tt,85,18,2.3,-5.10135000e+01,-2.30172400e+01
ff_ll,85,18,2.1,-4.77500300e+01,-1.92312800e+01
sf_lh,85,180,2.1,-4.75745800e+01,-2.47374900e+01
sf_tt,85,180,2.3,-5.22203700e+01,-2.58517500e+01
ff_hl,85,18,2.1,-4.84738400e+01,-1.93205500e+01
sf_lh,85,36000.0,2.1,-4.80120000e+01,-2.51028600e+01
sf_tt,85,36000.0,2.3,-5.25799000e+01,-2.60053500e+01
ff_ll,85,36000.0,2.1,-4.99138000e+01,-2.72562600e+01
sf_lh,0,18,2.1,error,error
sf_tt,0,18,2.3,error,error
ff_ll,0,18,2.1,error,error
sf_lh,0,180,2.1,error,error
sf_tt,0,180,2.3,error,error
ff_ll,0,180,2.1,-5.38160100e+01,-2.87744700e+01
sf_lh,0,36000.0,2.1,error,error
sf_tt,0,36000.0,2.3,error,error
ff_ll,0,36000.0,2.1,error,error
fs_lh,85,18,2.1,-4.64199100e+01,-1.56438100e+01
sf_tt,27,18,2.3,-7.64383100e+01,-2.49079700e+01
ff_tt,0,18,2.1,error,error
ss_hl,85,18,2.3,-5.00795100e+01,-2.30993100e+01
tt_hh,27,18,2.3,-8.20543000e+01,-2.37500900e+01
sf_tt,27,180,2.3,-7.84674000e+01,-2.69917000e+01
ss_hl,85,180,2.3,-5.09251800e+01,-2.59921600e+01
fs_lh,85,180,2.1,-4.79124700e+01,-2.38658100e+01
ff_tt,0,180,2.1,error,error
tt_hh,27,180,2.3,-7.43088700e+01,-2.54794000e+01
sf_tt,27,36000.0,2.3,-7.42674100e+01,-2.71411800e+01
ss_hl,85,36000.0,2.3,-5.11701700e+01,-2.61359500e+01
fs_lh,85,36000.0,2.1,-4.81270600e+01,-2.41191900e+01
ff_tt,0,36000.0,2.1,error,error
tt_hh,27,36000.0,2.3,-7.23084000e+01,-2.55990600e+01
ss_hh,85,18,2.1,-4.25601600e+01,-1.30620100e+01
ss_hl,0,18,2.3,-6.01894500e+01,-2.58219500e+01
fs_lh,0,18,2.1,-5.60385300e+01,-1.95973700e+01
ff_tt,27,18,2.1,-7.95492700e+01,-2.08226500e+01
tt_lh,85,18,2.1,-4.55292700e+01,-1.51638900e+01
ss_hh,85,180,2.1,-4.69803500e+01,-2.35170800e+01
ss_hl,0,180,2.3,error,error
fs_lh,0,180,2.1,-5.43828200e+01,-2.58483500e+01
ff_tt,27,180,2.1,-6.82178800e+01,-2.68211200e+01
tt_lh,85,180,2.1,-4.81870800e+01,-2.44582000e+01
ss_hh,85,36000.0,2.1,-4.72588800e+01,-2.38652300e+01
ss_hl,0,36000.0,2.3,error,error
fs_lh,0,36000.0,2.1,-5.41221600e+01,-2.61120100e+01
ff_tt,27,36000.0,2.1,-6.65838700e+01,-2.70505800e+01
tt_lh,85,36000.0,2.1,-4.84824400e+01,-2.47590700e+01
ss_hh,0,18,2.1,-7.23181500e+01,-1.70782200e+01
ss_hl,27,18,2.3,-7.17469000e+01,-2.50314400e+01
fs_lh,27,18,2.1,-6.93514700e+01,-1.83758800e+01
ff_tt,85,18,2.5,-5.53936800e+01,-2.51638000e+01
tt_lh,0,18,2.1,-5.84236000e+01,-1.93979100e+01
ss_hh,0,180,2.1,-5.77883900e+01,-2.53868400e+01
ss_hl,27,180,2.3,-8.22999200e+01,-2.72447000e+01
fs_lh,27,180,2.1,-7.81492300e+01,-2.52225500e+01
ff_tt,85,180,2.5,-5.58153500e+01,-2.60033700e+01
tt_lh,0,180,2.1,error,error
ss_hh,0,36000.0,2.1,error,error
ss_hl,27,36000.0,2.3,-8.73807100e+01,-2.73996700e+01
fs_lh,27,36000.0,2.1,-7.45803800e+01,-2.54825100e+01
ff_tt,85,36000.0,2.5,-5.60511200e+01,-2.60523900e+01
tt_lh,0,36000.0,2.1,error,error
ss_hh,27,18,2.1,-5.43336300e+01,-1.57982600e+01
ss_lh,85,18,2.1,-4.07294800e+01,-1.28094700e+01
fs_lh,85,18,2.5,-5.35523900e+01,-2.33881700e+01
ff_tt,0,18,2.5,error,error
tt_lh,27,18,2.1,-6.28412300e+01,-1.80709100e+01
ss_hh,27,180,2.1,-6.66783700e+01,-2.47879400e+01
ss_lh,85,180,2.1,-4.60911200e+01,-2.39319000e+01
fs_lh,85,180,2.5,-5.38641200e+01,-2.42786000e+01
ff_tt,0,180,2.5,-5.96466500e+01,-2.77269600e+01
tt_lh,27,180,2.1,-8.16317300e+01,-2.56905700e+01
ss_hh,27,36000.0,2.1,-6.90083900e+01,-2.51343600e+01
ss_lh,85,36000.0,2.1,-4.63638700e+01,-2.43067000e+01
fs_lh,85,36000.0,2.5,-5.40318500e+01,-2.43262000e+01
ff_tt,0,36000.0,2.5,-5.94316800e+01,-2.77772500e+01
tt_lh,27,36000.0,2.1,-7.53996100e+01,-2.59785000e+01
ss_hh,85,18,2.5,-5.33913300e+01,-2.28415300e+01
ss_lh,0,18,2.1,-7.72114200e+01,-1.72493200e+01
fs_lh,0,18,2.5,-6.05784400e+01,-2.54399600e+01
ff_tt,27,18,2.5,-7.55081700e+01,-2.64021000e+01
tt_lh,85,18,2.5,-5.41921400e+01,-2.38943700e+01
sf_hh,85,180,2.1,-4.83627800e+01,-2.42847900e+01
ss_hh,85,180,2.5,-5.38853500e+01,-2.39838000e+01
ss_lh,0,180,2.1,error,error
fs_lh,0,180,2.5,-6.01723400e+01,-2.62457300e+01
ff_tt,27,180,2.5,-7.29963700e+01,-2.71527400e+01
tt_lh,85,180,2.5,-5.46674400e+01,-2.48871500e+01
sf_hh,85,36000.0,2.1,-4.88006000e+01,-2.46240500e+01
ss_hh,85,36000.0,2.5,-5.41097700e+01,-2.40678200e+01
ss_lh,0,36000.0,2.1,-5.74590300e+01,-2.62120700e+01
fs_lh,0,36000.0,2.5,-5.99709000e+01,-2.62990000e+01
ff_tt,27,36000.0,2.5,-7.19284300e+01,-2.72022500e+01
tt_lh,85,36000.0,2.5,-5.49023400e+01,-2.49532900e+01
sf_hh,0,18,2.1,error,error
ss_hh,0,18,2.5,-6.16398600e+01,-2.48633800e+01
ss_lh,27,18,2.1,-5.26198800e+01,-1.58787900e+01
fs_lh,27,18,2.5,-8.38807500e+01,-2.47828100e+01
ff_tt,85,18,2.3,-5.26473100e+01,-2.41532100e+01
tt_lh,0,18,2.5,-4.99209200e-01,-4.99084200e-01
sf_hh,0,180,2.1,error,error
ss_hh,0,180,2.5,error,error
ss_lh,27,180,2.1,-6.41501500e+01,-2.52388500e+01
fs_lh,27,180,2.5,-8.07089600e+01,-2.56141000e+01
ff_tt,85,180,2.3,-5.32406700e+01,-2.58942100e+01
tt_lh,0,180,2.5,error,error
sf_hh,0,36000.0,2.1,error,error
ss_hh,0,36000.0,2.5,-6.05560300e+01,-2.59241900e+01
ss_lh,27,36000.0,2.1,-6.59653200e+01,-2.56003800e+01
fs_lh,27,36000.0,2.5,-7.87334700e+01,-2.56651400e+01
ff_tt,85,36000.0,2.3,-5.35054800e+01,-2.59898000e+01
tt_lh,0,36000.0,2.5,-5.95020000e+01,-2.67466200e+01
sf_hh,27,18,2.1,-5.33109300e+01,-1.69526700e+01
ss_hh,27,18,2.5,-8.05311800e+01,-2.42074700e+01
ss_lh,85,18,2.5,-5.27576300e+01,-2.32616700e+01
fs_lh,85,18,2.3,-5.08171700e+01,-2.22343700e+01
ff_tt,0,18,2.3,-5.74988400e+01,-2.62880700e+01
tt_lh,27,18,2.5,-8.01497400e+01,-2.52121700e+01
sf_hh,27,180,2.1,-7.03439400e+01,-2.54343800e+01
ss_hh,27,180,2.5,-8.46502700e+01,-2.52333400e+01
ss_lh,85,180,2.5,-5.32609600e+01,-2.44418000e+01
fs_lh,85,180,2.3,-5.12424800e+01,-2.41522100e+01
ff_tt,0,180,2.3,-5.69153200e+01,-2.76251700e+01
tt_lh,27,180,2.5,-7.56775000e+01,-2.60870700e+01
sf_hh,27,36000.0,2.1,-7.59411100e+01,-2.57599000e+01
ss_hh,27,36000.0,2.5,-8.20007900e+01,-2.53207400e+01
ss_lh,85,36000.0,2.5,-5.34836800e+01,-2.45283500e+01
fs_lh,85,36000.0,2.3,-5.14255300e+01,-2.42496600e+01
ff_tt,0,36000.0,2.3,-5.66733100e+01,-2.77220800e+01
tt_lh,27,36000.0,2.5,-7.40855100e+01,-2.61540000e+01
sf_hh,85,18,2.5,-5.47379400e+01,-2.36194100e+01
ss_hh,85,18,2.3,-5.00781600e+01,-2.09880600e+01
ss_lh,0,18,2.5,-6.14780300e+01,-2.53329300e+01
fs_lh,0,18,2.3,-5.79736100e+01,-2.45855600e+01
ff_tt,27,18,2.3,-7.36354300e+01,-2.56065900e+01
tt_lh,85,18,2.3,-5.11583500e+01,-2.24539600e+01
sf_hh,85,18,2.1,-4.23770600e+01,-1.41138100e+01
ss_hh,85,180,2.3,-5.09243200e+01,-2.38518000e+01
ss_lh,0,180,2.5,-6.06724500e+01,-2.63214400e+01
fs_lh,0,180,2.3,-5.74198300e+01,-2.61240900e+01
ff_tt,27,180,2.3,-7.00591200e+01,-2.70506300e+01
tt_lh,85,180,2.3,-5.18797200e+01,-2.47586700e+01
sf_hh,85,36000.0,2.5,-5.57684800e+01,-2.48106400e+01
ss_hh,85,36000.0,2.3,-5.11692900e+01,-2.39927900e+01
ss_lh,0,36000.0,2.5,-6.03589000e+01,-2.64121000e+01
fs_lh,0,36000.0,2.3,-5.71993500e+01,-2.62304300e+01
ff_tt,27,36000.0,2.3,-6.88687300e+01,-2.71466500e+01
tt_lh,85,36000.0,2.3,-5.21273100e+01,-2.48821300e+01
sf_ll,0,18,2.1,error,error
ss_ll,0,18,2.5,-6.14849600e+01,-2.74644200e+01
ff_hh,27,18,2.5,-7.57462400e+01,-2.51297100e+01
sf_ll,0,180,2.1,error,error
ss_ll,0,180,2.5,-6.06770500e+01,-2.84637700e+01
ff_hh,27,180,2.5,-7.32698100e+01,-2.58703500e+01
sf_ll,0,36000.0,2.1,error,error
ss_ll,0,36000.0,2.5,-6.03630900e+01,-2.85557600e+01
ff_hh,27,36000.0,2.5,-7.22080700e+01,-2.59187800e+01
sf_ll,27,18,2.1,-5.15420900e+01,-1.91126300e+01
ss_ll,27,18,2.5,-7.94304400e+01,-2.67973600e+01
ff_hh,85,18,2.3,-5.28727900e+01,-2.29379700e+01
sf_ll,27,180,2.1,-6.74207800e+01,-2.80485900e+01
ss_ll,27,180,2.5,-8.78573100e+01,-2.78551500e+01
ff_hh,85,180,2.3,-5.34563100e+01,-2.46197000e+01
sf_ll,27,36000.0,2.1,-7.14673800e+01,-2.83906800e+01
ss_ll,27,36000.0,2.5,-8.49000500e+01,-2.79459900e+01
ff_hh,85,36000.0,2.3,-5.37196200e+01,-2.47124600e+01
sf_ll,85,18,2.5,-5.42542900e+01,-2.62012000e+01
ss_ll,85,18,2.3,-4.93280700e+01,-2.33285800e+01
ff_hh,0,18,2.3,-5.76563100e+01,-2.50271300e+01
sf_ll,85,180,2.5,-5.49991900e+01,-2.73514600e+01
ss_ll,85,180,2.3,-5.01961100e+01,-2.64370600e+01
ff_hh,0,180,2.3,error,error
sf_ll,85,36000.0,2.5,-5.53123100e+01,-2.74439900e+01
ss_ll,85,36000.0,2.3,-5.04384900e+01,-2.65878000e+01
ff_hh,0,36000.0,2.3,error,error
sf_ll,0,18,2.5,error,error
ss_ll,0,18,2.3,-6.01960700e+01,-2.62424000e+01
ff_hh,27,18,2.3,-7.37845800e+01,-2.43542600e+01
sf_ll,0,180,2.5,error,error
ss_ll,0,180,2.3,-5.87491100e+01,-2.83232200e+01
ff_hh,27,180,2.3,-7.02830600e+01,-2.57703600e+01
sf_ll,0,36000.0,2.5,error,error
ss_ll,0,36000.0,2.3,error,error
ff_hh,27,36000.0,2.3,-6.90994300e+01,-2.58644800e+01
sf_hl,0,36000.0,2.3,error,error
sf_ll,27,18,2.5,-8.41418900e+01,-2.75111900e+01
ss_ll,27,18,2.3,-6.95732600e+01,-2.53976900e+01
ff_hl,85,180,2.1,-5.01742000e+01,-2.65458100e+01
sf_ll,27,180,2.5,-7.56030200e+01,-2.84899500e+01
ss_ll,27,180,2.3,-7.82973900e+01,-2.77147500e+01
sf_ll,27,36000.0,2.5,-7.34493300e+01,-2.85789200e+01
ss_ll,27,36000.0,2.3,-8.37330900e+01,-2.78732800e+01
ff_hl,85,36000.0,2.1,-5.04752600e+01,-2.67751900e+01
sf_ll,85,18,2.3,-5.06789500e+01,-2.42445500e+01
ss_tt,85,18,2.1,-4.17246300e+01,-1.39099000e+01
ff_hl,0,18,2.1,-5.57682300e+01,-2.29804600e+01
sf_ll,85,180,2.3,-5.19142300e+01,-2.72106100e+01
ss_tt,85,180,2.1,-4.65555700e+01,-2.47405700e+01
ff_hl,0,180,2.1,error,error
sf_ll,85,36000.0,2.3,-5.22778200e+01,-2.73679900e+01
ss_tt,85,36000.0,2.1,-4.68313600e+01,-2.51033200e+01
ff_hl,0,36000.0,2.1,-5.38455000e+01,-2.85120300e+01
sf_ll,0,18,2.3,error,error
ss_tt,0,18,2.1,-7.57636700e+01,-1.81501900e+01
ff_hl,27,18,2.1,-8.10529900e+01,-2.18219300e+01
ff_hl,27,180,2.1,-6.83287000e+01,-2.77120400e+01
sf_ll,0,180,2.3,error,error
ss_tt,0,180,2.1,-5.79453600e+01,-2.66389900e+01
sf_ll,0,36000.0,2.3,error,error
ss_tt,0,36000.0,2.1,error,error
ff_hl,27,36000.0,2.1,-6.67194400e+01,-2.79418200e+01
sf_ll,27,18,2.3,-7.55981600e+01,-2.62234000e+01
ss_tt,27,18,2.1,-5.35148600e+01,-1.68210200e+01
ff_hl,85,18,2.5,-5.55802500e+01,-2.60582100e+01
ff_hl,85,180,2.5,-5.59976800e+01,-2.68931300e+01
ss_tt,27,180,2.1,-6.54457100e+01,-2.60349600e+01
sf_ll,27,180,2.3,-7.92668700e+01,-2.83594000e+01
ff_hl,85,36000.0,2.5,-5.62311700e+01,-2.69420600e+01
ss_tt,27,36000.0,2.1,-6.75103100e+01,-2.63902600e+01
sf_ll,27,36000.0,2.3,-7.46107600e+01,-2.85116200e+01
