corner,temp,resistor,supply,psr100,psr100k
ff_ll,27,18,2.1,-7.92541800e+01,-2.20085400e+01
ss_hh,0,180,2.3,error,error
ff_ll,27,180,2.1,-6.81616500e+01,-2.82009600e+01
fs_ll,0,18,2.3,-5.79773300e+01,-2.67352300e+01
ss_hh,0,36000.0,2.3,error,error
ff_ll,27,36000.0,2.1,-6.64857100e+01,-2.84370100e+01
ss_hh,27,18,2.3,-7.16204400e+01,-2.29107700e+01
ff_ll,85,18,2.5,-5.51899000e+01,-2.65290800e+01
ss_hh,27,180,2.3,-8.14929800e+01,-2.50996500e+01
ff_ll,85,180,2.5,-5.56158800e+01,-2.73873100e+01
ss_hh,27,36000.0,2.3,-8.52447900e+01,-2.52522200e+01
ff_ll,85,36000.0,2.5,-5.58539200e+01,-2.74380900e+01
ss_hl,85,18,2.1,-4.25616600e+01,-1.50701700e+01
ff_ll,0,18,2.5,-5.98859400e+01,-2.83984900e+01
ss_hl,85,180,2.1,-4.69807300e+01,-2.56483600e+01
ff_ll,0,180,2.5,error,error
ss_hl,85,36000.0,2.1,-4.72592400e+01,-2.60015100e+01
ff_ll,0,36000.0,2.5,-4.74725900e-01,-4.73382100e-01
ss_hl,0,18,2.1,-7.29145400e+01,-1.91373100e+01
ff_ll,27,18,2.5,-7.52413500e+01,-2.77789600e+01
ss_hl,0,180,2.1,-5.77913200e+01,-2.75304300e+01
ff_ll,27,180,2.5,-7.27080600e+01,-2.85412100e+01
ss_hl,0,36000.0,2.1,error,error
ff_ll,27,36000.0,2.5,-7.16367000e+01,-2.85919000e+01
ss_hl,27,18,2.1,-5.43455800e+01,-1.78455900e+01
ff_ll,85,18,2.3,-5.23985700e+01,-2.54631700e+01
ss_hl,27,180,2.1,-6.67045600e+01,-2.69322200e+01
ff_ll,85,180,2.3,-5.30027700e+01,-2.72731500e+01
ss_hl,27,36000.0,2.1,-6.90498600e+01,-2.72835600e+01
ff_ll,85,36000.0,2.3,-5.32690000e+01,-2.73720000e+01
ss_hl,85,18,2.5,-5.33932400e+01,-2.49725400e+01
ff_ll,0,18,2.3,-5.73217100e+01,-2.76507600e+01
ss_hl,85,180,2.5,-5.38870000e+01,-2.61277400e+01
ff_ll,0,180,2.3,-5.67330100e+01,-2.90113800e+01
ss_hl,85,36000.0,2.5,-5.41114700e+01,-2.62136800e+01
ff_ll,0,36000.0,2.3,-5.64900700e+01,-2.91099300e+01
ss_hl,0,18,2.5,error,error
ff_ll,27,18,2.3,-7.34847700e+01,-2.69605800e+01
ss_hl,0,180,2.5,error,error
ff_ll,27,180,2.3,-6.98356800e+01,-2.84367500e+01
ss_hl,0,36000.0,2.5,-6.05609400e+01,-2.80686900e+01
ff_ll,27,36000.0,2.3,-6.86420700e+01,-2.85348200e+01
ss_hl,27,18,2.5,-8.13209100e+01,-2.63405700e+01
ff_tt,85,18,2.1,-4.81291600e+01,-1.82019200e+01
ss_hl,27,180,2.5,-8.64558300e+01,-2.73783100e+01
ff_tt,85,180,2.1,-4.99053900e+01,-2.56468600e+01
ss_hl,27,36000.0,2.5,-8.28686300e+01,-2.74673000e+01
ff_tt,85,36000.0,2.1,-5.02076900e+01,-2.58812800e+01
sf_hh,0,18,2.5,-6.10312300e+01,-2.55337900e+01
sf_lh,27,18,2.1,-5.15374400e+01,-1.70646500e+01
fs_lh,27,18,2.3,-8.36521100e+01,-2.38654200e+01
ff_hl,0,18,2.5,-6.02509900e+01,-2.78964200e+01
sf_hh,0,180,2.5,-6.01666400e+01,-2.64194300e+01
sf_lh,27,180,2.1,-6.73970300e+01,-2.59143900e+01
fs_lh,27,180,2.3,-7.79966500e+01,-2.54935200e+01
ff_hl,0,180,2.5,-5.98278700e+01,-2.86058200e+01
sf_hh,0,36000.0,2.5,error,error
sf_lh,27,36000.0,2.1,-7.14117300e+01,-2.62519300e+01
fs_lh,27,36000.0,2.3,-7.57560800e+01,-2.55959800e+01
ff_hl,0,36000.0,2.5,-5.96129500e+01,-2.86561900e+01
sf_hh,27,18,2.5,-8.26591600e+01,-2.48980800e+01
sf_lh,85,18,2.5,-5.42525400e+01,-2.40790100e+01
fs_ll,85,18,2.1,-4.64219300e+01,-1.77097900e+01
ff_hl,27,18,2.5,-7.59466000e+01,-2.72853700e+01
sf_hh,27,180,2.5,-7.56996800e+01,-2.58502500e+01
sf_lh,85,180,2.5,-5.49975900e+01,-2.52174300e+01
fs_ll,85,180,2.1,-4.79129000e+01,-2.60299400e+01
ff_hl,27,180,2.5,-7.33644600e+01,-2.80363400e+01
sf_hh,27,36000.0,2.5,-7.36751900e+01,-2.59363300e+01
sf_lh,85,36000.0,2.5,-5.53106300e+01,-2.53081600e+01
fs_ll,85,36000.0,2.1,-4.81274900e+01,-2.62879400e+01
ff_hl,27,36000.0,2.5,-7.22811800e+01,-2.80858800e+01
sf_hh,85,180,2.5,-5.54677400e+01,-2.47214800e+01
sf_lh,0,18,2.5,error,error
fs_ll,0,18,2.1,-5.60459400e+01,-2.16955100e+01
ff_hl,85,18,2.3,-5.28744600e+01,-2.50822100e+01
sf_hh,85,180,2.3,-5.24984400e+01,-2.45931200e+01
sf_lh,0,180,2.5,error,error
fs_ll,0,180,2.1,error,error
ff_hl,85,180,2.3,-5.34576100e+01,-2.67859800e+01
sf_hh,85,36000.0,2.3,-5.28533400e+01,-2.47435400e+01
sf_lh,0,36000.0,2.5,error,error
fs_ll,0,36000.0,2.1,-5.41232400e+01,-2.82856900e+01
ff_hl,85,36000.0,2.3,-5.37209800e+01,-2.68809800e+01
sf_hh,85,18,2.3,-5.13174700e+01,-2.18741500e+01
sf_lh,27,18,2.5,-8.30355500e+01,-2.53864500e+01
fs_ll,27,18,2.1,-6.95671700e+01,-2.04670600e+01
ff_hl,0,18,2.3,-5.76594100e+01,-2.71728400e+01
sf_hh,0,180,2.3,error,error
sf_lh,27,180,2.5,-7.54636700e+01,-2.63549400e+01
fs_ll,27,180,2.1,-7.84982100e+01,-2.73967000e+01
ff_hl,0,180,2.3,error,error
sf_hh,0,36000.0,2.3,error,error
sf_lh,27,36000.0,2.5,-7.33656300e+01,-2.64425400e+01
fs_ll,27,36000.0,2.1,-7.47216400e+01,-2.76609600e+01
ff_hl,0,36000.0,2.3,error,error
sf_hh,27,18,2.3,-7.70669100e+01,-2.36883700e+01
sf_lh,85,18,2.3,-5.06777600e+01,-2.21419400e+01
fs_ll,85,18,2.5,-5.35541600e+01,-2.55501800e+01
ff_hl,27,18,2.3,-7.39358400e+01,-2.65018200e+01
sf_hh,27,180,2.3,-7.78660500e+01,-2.57261400e+01
sf_lh,85,180,2.3,-5.19134200e+01,-2.50804600e+01
fs_ll,85,180,2.5,-5.38656700e+01,-2.64533400e+01
ff_hl,27,180,2.3,-7.03315000e+01,-2.79370200e+01
sf_hh,27,36000.0,2.3,-7.40197800e+01,-2.58733900e+01
sf_lh,85,36000.0,2.3,-5.22769600e+01,-2.52350900e+01
fs_ll,85,36000.0,2.5,-5.40334500e+01,-2.65024600e+01
ff_hl,27,36000.0,2.3,-6.91354800e+01,-2.80329000e+01
sf_hh,0,18,2.3,error,error
sf_lh,0,18,2.3,error,error
fs_ll,0,18,2.5,-6.05840100e+01,-2.75985900e+01
ff_lh,85,18,2.1,-4.77481100e+01,-1.71581200e+01
sf_hl,85,180,2.1,-4.83632100e+01,-2.64085300e+01
sf_lh,0,180,2.3,error,error
fs_ll,0,180,2.5,-6.01765600e+01,-2.84155000e+01
ff_lh,85,180,2.1,-4.96098200e+01,-2.48524200e+01
sf_hl,85,36000.0,2.1,-4.88010400e+01,-2.67528600e+01
sf_lh,0,36000.0,2.3,error,error
fs_ll,0,36000.0,2.5,-5.99748800e+01,-2.84698200e+01
ff_lh,85,36000.0,2.1,-4.99132800e+01,-2.50933400e+01
sf_hl,0,18,2.1,error,error
sf_lh,27,18,2.3,-7.53687900e+01,-2.41101200e+01
fs_ll,27,18,2.5,-8.55465500e+01,-2.69443200e+01
ff_lh,0,18,2.1,error,error
sf_hl,0,180,2.1,error,error
sf_lh,27,180,2.3,-7.89402000e+01,-2.62243900e+01
fs_ll,27,180,2.5,-8.12996200e+01,-2.77875400e+01
ff_lh,0,180,2.1,-5.38151100e+01,-2.66127100e+01
sf_hl,0,36000.0,2.1,error,error
sf_lh,27,36000.0,2.3,-7.44999700e+01,-2.63745300e+01
fs_ll,27,36000.0,2.5,-7.90943500e+01,-2.78397900e+01
ff_lh,0,36000.0,2.1,error,error
sf_hl,85,18,2.1,-4.23781800e+01,-1.61298400e+01
sf_ll,85,18,2.1,-4.01954900e+01,-1.58427800e+01
fs_ll,85,18,2.3,-5.08184000e+01,-2.43808700e+01
ff_lh,27,18,2.1,-7.80109100e+01,-1.99128900e+01
sf_hl,27,180,2.1,-7.03964000e+01,-2.75695900e+01
sf_ll,85,180,2.1,-4.75749000e+01,-2.68565800e+01
fs_ll,85,180,2.3,-5.12433600e+01,-2.63237300e+01
ff_lh,27,180,2.1,-6.81339200e+01,-2.60340500e+01
sf_hl,27,36000.0,2.1,-7.61204900e+01,-2.78995400e+01
sf_ll,85,36000.0,2.1,-4.80123300e+01,-2.72272500e+01
fs_ll,85,36000.0,2.3,-5.14264200e+01,-2.64235300e+01
ff_lh,27,36000.0,2.1,-6.64678100e+01,-2.62664000e+01
ss_tt,85,18,2.5,-5.30892800e+01,-2.40673000e+01
fs_hl,0,18,2.1,-5.61611300e+01,-2.14997200e+01
fs_tt,85,18,2.3,-5.11415700e+01,-2.30961700e+01
tt,27,180,2.5,-7.58470900e+01,-2.68656500e+01
ss_tt,85,180,2.5,-5.35881400e+01,-2.52333900e+01
fs_hl,0,180,2.1,-5.46110700e+01,-2.75570000e+01
fs_tt,85,180,2.3,-5.15563600e+01,-2.49633200e+01
tt,0,36000.0,2.5,-5.96633900e+01,-2.75199200e+01
tt,27,18,2.5,-8.03749200e+01,-2.59935400e+01
ss_tt,85,36000.0,2.5,-5.38118900e+01,-2.53195000e+01
fs_hl,0,36000.0,2.1,-5.43564900e+01,-2.78158700e+01
fs_tt,85,36000.0,2.3,-5.17401400e+01,-2.50597300e+01
tt,27,36000.0,2.5,-7.42627000e+01,-2.69324400e+01
tt,85,18,2.3,-5.14744200e+01,-2.33151400e+01
ss_tt,0,18,2.5,-6.15608000e+01,-2.61134200e+01
fs_hl,27,18,2.1,-7.18470200e+01,-2.03527500e+01
fs_tt,0,18,2.3,-5.80488800e+01,-2.53980900e+01
tt,85,180,2.3,-5.21838000e+01,-2.55471600e+01
ss_tt,0,180,2.5,-6.07684700e+01,-2.70981100e+01
fs_hl,27,180,2.1,-7.61603500e+01,-2.69449500e+01
fs_tt,0,180,2.3,-5.75512000e+01,-2.69181200e+01
ss_tt,0,36000.0,2.5,-6.04590300e+01,-2.71885200e+01
fs_hl,27,36000.0,2.1,-7.32473100e+01,-2.71967700e+01
fs_tt,0,36000.0,2.3,-5.73324700e+01,-2.70239100e+01
tt,85,36000.0,2.3,-5.24281600e+01,-2.56698200e+01
tt,0,18,2.3,-5.82251100e+01,-2.57207600e+01
ss_tt,27,18,2.5,-8.01506100e+01,-2.54521100e+01
fs_hl,85,18,2.5,-5.40899600e+01,-2.51239100e+01
fs_tt,27,18,2.3,-8.39299300e+01,-2.46828000e+01
ss_tt,27,180,2.5,-8.62263400e+01,-2.64928700e+01
fs_hl,85,180,2.5,-5.43978200e+01,-2.60021800e+01
fs_tt,27,180,2.3,-7.76242000e+01,-2.62940200e+01
tt,0,180,2.3,-5.74013700e+01,-2.73358300e+01
tt,0,36000.0,2.3,-5.71107000e+01,-2.74589300e+01
ss_tt,27,36000.0,2.5,-8.32526900e+01,-2.65819000e+01
fs_hl,85,36000.0,2.5,-5.45664600e+01,-2.60493300e+01
fs_tt,27,36000.0,2.3,-7.54919000e+01,-2.63958300e+01
ss_tt,85,18,2.3,-4.97198200e+01,-2.21160400e+01
fs_hl,0,18,2.5,-6.08496800e+01,-2.71305800e+01
ff_hh,85,18,2.1,-4.84716100e+01,-1.72418800e+01
tt,27,18,2.3,-8.33164100e+01,-2.49825300e+01
ss_tt,85,180,2.3,-5.05764500e+01,-2.50946000e+01
fs_hl,0,180,2.5,-6.04487500e+01,-2.79338800e+01
ff_hh,85,180,2.1,-5.01735500e+01,-2.43842500e+01
tt,27,180,2.3,-7.44676000e+01,-2.67488700e+01
ss_tt,85,36000.0,2.3,-5.08203400e+01,-2.52402500e+01
fs_hl,0,36000.0,2.5,-6.02492000e+01,-2.79869400e+01
ff_hh,85,36000.0,2.1,-5.04746000e+01,-2.46093400e+01
ss_tt,0,18,2.3,-6.01804100e+01,-2.49224800e+01
fs_hl,27,18,2.5,-8.44632800e+01,-2.64879200e+01
ff_hh,0,18,2.1,-5.57630600e+01,-2.08768300e+01
ss_tt,0,180,2.3,-5.87815000e+01,-2.69610100e+01
fs_hl,27,180,2.5,-8.07717800e+01,-2.73153800e+01
ff_hh,0,180,2.1,error,error
fs_hh,27,18,2.1,-7.14786100e+01,-1.82590600e+01
ss_tt,0,36000.0,2.3,-7.91173700e+01,-1.94747800e+01
fs_hl,27,36000.0,2.5,-7.87681600e+01,-2.73662400e+01
ff_hh,0,36000.0,2.1,-5.38445400e+01,-2.63453500e+01
ss_tt,27,18,2.3,-7.08081900e+01,-2.41207900e+01
fs_hl,85,18,2.3,-5.14401200e+01,-2.40539600e+01
ff_hh,27,18,2.1,-7.92216900e+01,-1.97238600e+01
ss_tt,27,180,2.3,-8.00954700e+01,-2.63560100e+01
fs_hl,85,180,2.3,-5.18441300e+01,-2.58802400e+01
ff_hh,27,180,2.1,-6.82964400e+01,-2.55441600e+01
ss_tt,27,36000.0,2.3,-8.54492600e+01,-2.65113200e+01
fs_hl,85,36000.0,2.3,-5.20284300e+01,-2.59759900e+01
ff_hh,27,36000.0,2.1,-6.66982600e+01,-2.57702400e+01
fs_hh,85,18,2.1,-4.72247000e+01,-1.57828800e+01
fs_hl,0,18,2.3,-5.82220600e+01,-2.62986700e+01
ff_hh,85,18,2.5,-5.55777500e+01,-2.39014800e+01
fs_hh,85,180,2.1,-4.86060700e+01,-2.34432900e+01
fs_hl,0,180,2.3,-5.76808100e+01,-2.78185200e+01
ff_hh,85,180,2.5,-5.59954000e+01,-2.47248400e+01
tt,27,36000.0,2.3,-7.23670000e+01,-2.68708400e+01
fs_hh,85,36000.0,2.1,-4.88294400e+01,-2.36782900e+01
fs_hl,0,36000.0,2.3,-5.74635100e+01,-2.79240200e+01
ff_hh,85,36000.0,2.5,-5.62287800e+01,-2.47722900e+01
fs_hh,0,18,2.1,-5.61531500e+01,-1.93996600e+01
fs_hl,27,18,2.3,-8.40840700e+01,-2.56018700e+01
ff_hh,0,18,2.5,-6.02462000e+01,-2.57435900e+01
fs_hh,0,180,2.1,-5.46096500e+01,-2.53853900e+01
fs_hl,27,180,2.3,-7.73738800e+01,-2.72009100e+01
ff_hh,0,180,2.5,-5.98241700e+01,-2.64436100e+01
fs_hh,0,36000.0,2.1,error,error
fs_hl,27,36000.0,2.3,-7.53171900e+01,-2.73024500e+01
ff_hh,0,36000.0,2.5,-5.96094600e+01,-2.64930400e+01
ss_lh,27,18,2.5,-7.89533400e+01,-2.46648700e+01
tt_ll,27,180,2.5,-7.58347200e+01,-2.82422200e+01
tt_ll,85,180,2.3,-5.18806000e+01,-2.69105200e+01
ss_lh,27,180,2.5,-8.57150100e+01,-2.57108300e+01
tt_ll,27,36000.0,2.5,-7.41922000e+01,-2.83104300e+01
tt_ll,85,36000.0,2.3,-5.21282100e+01,-2.70365000e+01
ss_lh,27,36000.0,2.5,-8.37068000e+01,-2.58001300e+01
tt_ll,85,18,2.3,-5.11596000e+01,-2.45799500e+01
tt_ll,0,18,2.3,-5.80990600e+01,-2.70654700e+01
ss_lh,85,18,2.3,-4.93269900e+01,-2.12204200e+01
tt_ll,0,180,2.3,-5.72614500e+01,-2.87110800e+01
ss_lh,85,180,2.3,-5.01954500e+01,-2.42992200e+01
ss_lh,85,36000.0,2.3,-5.04378200e+01,-2.44471300e+01
tt_ll,0,36000.0,2.3,-5.69678800e+01,-2.88362600e+01
tt_ll,27,18,2.3,-8.49004500e+01,-2.63138600e+01
ss_lh,0,18,2.3,-6.01892800e+01,-2.41214900e+01
ss_lh,0,180,2.3,-5.87460600e+01,-2.61807100e+01
tt_ll,27,180,2.3,-7.46899900e+01,-2.81225900e+01
ss_lh,0,36000.0,2.3,error,error
tt_ll,27,36000.0,2.3,-7.24710100e+01,-2.82471300e+01
ss_lh,27,18,2.3,-6.95024000e+01,-2.32781500e+01
tt,85,18,2.1,-4.60361500e+01,-1.62225900e+01
tt,85,180,2.1,-4.85563200e+01,-2.52583300e+01
ss_lh,27,180,2.3,-7.79918600e+01,-2.55704900e+01
ss_lh,27,36000.0,2.3,-8.27782900e+01,-2.57266500e+01
ss_ll,85,18,2.1,-4.07305300e+01,-1.48083200e+01
tt,0,18,2.1,-5.83331500e+01,-2.02828600e+01
tt,85,36000.0,2.1,-4.88524000e+01,-2.55501800e+01
tt,0,180,2.1,-5.49967400e+01,-2.70664300e+01
ss_ll,85,180,2.1,-4.60913900e+01,-2.60576900e+01
tt,0,36000.0,2.1,-5.46017100e+01,-2.73517800e+01
ss_ll,85,36000.0,2.1,-4.63641400e+01,-2.64375200e+01
ss_ll,0,18,2.1,-7.92891700e+01,-1.93074600e+01
tt,27,18,2.1,-6.37848900e+01,-1.89974800e+01
tt,27,180,2.1,-7.98465600e+01,-2.64804700e+01
ss_ll,0,180,2.1,-5.81584300e+01,-2.79927400e+01
ss_ll,0,36000.0,2.1,-5.74612900e+01,-2.83589100e+01
tt,27,36000.0,2.1,-7.44208900e+01,-2.67646000e+01
ss_ll,27,18,2.1,-5.26277800e+01,-1.79242200e+01
tt,85,18,2.5,-5.44514800e+01,-2.46902100e+01
tt,85,180,2.5,-5.49235300e+01,-2.56733200e+01
ss_ll,27,180,2.1,-6.41633100e+01,-2.73819100e+01
tt,85,36000.0,2.5,-5.51576500e+01,-2.57391000e+01
ss_ll,27,36000.0,2.1,-6.59837500e+01,-2.77484800e+01
tt,0,18,2.5,-6.04578800e+01,-2.66310200e+01
ss_ll,85,18,2.5,-5.27591300e+01,-2.53911900e+01
tt,0,180,2.5,-5.99104500e+01,-2.74523600e+01
ss_ll,85,180,2.5,-5.32622500e+01,-2.65842000e+01
ss_ll,85,36000.0,2.5,-5.34850100e+01,-2.66726500e+01
sf_hl,85,18,2.5,-5.47401100e+01,-2.57429300e+01
sf_tt,85,18,2.1,-4.13927600e+01,-1.49584600e+01
